79.97,5.472843021154404,0.7684729064039408,0.9765708200212992,0.784992784992785,0.7869318181818182,0.6615661566156615,0.9195767195767196,0.46940559440559443,0.8494921514312096,0.934,0.9171597633136095,0.78,0.917,0.544,0.831,0.735,0.869,0.537,0.92,0.934,0.93
82.91,4.743438214063644,0.7349607672188317,0.9763617677286742,0.7580813347236705,0.7931345980126467,0.7086031452358927,0.9410526315789474,0.6051136363636364,0.8555858310626703,0.9438314944834504,0.9418960244648318,0.843,0.95,0.727,0.878,0.766,0.894,0.426,0.942,0.941,0.924
83.2,4.5538561046123505,0.871536523929471,0.9774127310061602,0.8522571819425444,0.8262548262548263,0.7009847806624888,0.9129593810444874,0.5214676034348166,0.8992172211350293,0.9273959341723137,0.9458077709611452,0.692,0.952,0.623,0.856,0.783,0.944,0.668,0.919,0.958,0.925
85.17,4.18601581454277,0.8049751243781095,0.9834710743801653,0.8079911209766926,0.8699690402476781,0.7024793388429752,0.9567901234567902,0.6154684095860566,0.919080919080919,0.9411764705882353,0.9266409266409267,0.809,0.952,0.728,0.843,0.85,0.93,0.565,0.92,0.96,0.96
85.27,4.098467379808426,0.8440265486725663,0.9865841073271414,0.7939011566771819,0.8055045871559633,0.691497975708502,0.956745623069001,0.6720496894409937,0.9078564500484966,0.9386562804284323,0.9351032448377581,0.763,0.956,0.755,0.878,0.854,0.929,0.541,0.936,0.964,0.951
85.73,3.94580414891243,0.7620689655172413,0.989517819706499,0.7907692307692308,0.8463768115942029,0.7490601503759399,0.9706190975865687,0.6492537313432836,0.9141463414634147,0.9588353413654619,0.9303675048355899,0.884,0.944,0.771,0.876,0.797,0.925,0.522,0.937,0.955,0.962
85.97,3.8482741117477417,0.807205452775073,0.9885654885654885,0.8261851015801355,0.8561576354679803,0.7435424354243543,0.96875,0.6215139442231076,0.9033492822966507,0.9525691699604744,0.9432835820895522,0.829,0.951,0.732,0.869,0.806,0.93,0.624,0.944,0.964,0.948
86.71,3.739834040403366,0.8018779342723005,0.9816326530612245,0.802020202020202,0.890295358649789,0.7546468401486989,0.9623217922606925,0.6553980370774264,0.915615906886518,0.9564356435643564,0.948051948051948,0.854,0.962,0.794,0.844,0.812,0.945,0.601,0.944,0.966,0.949
86.56,3.729212135076523,0.8216818642350557,0.9897330595482546,0.7807692307692308,0.8024691358024691,0.7532467532467533,0.9737945492662474,0.7170542635658915,0.907177033492823,0.9590818363273453,0.9426877470355731,0.811,0.964,0.812,0.91,0.812,0.929,0.555,0.948,0.961,0.954
86.95,3.62357959151268,0.7936802973977695,0.9886831275720165,0.7866795366795367,0.8460076045627376,0.7583333333333333,0.974869109947644,0.7256176853055917,0.8997188378631678,0.9601593625498008,0.9534883720930233,0.854,0.961,0.815,0.89,0.819,0.931,0.558,0.96,0.964,0.943
