7,2,0,31,9,33,47,27,30,4,29,22,39,20,44,13,24,32,10,8,37,49,43,45,15
24,10,13,33,32,38,28,0,18,49,35,8,15,27,31,4,2,20,14,47,48,22,9,40,25
33,47,37,45,1,35,23,49,34,44,4,24,36,31,6,48,7,3,12,8,22,27,41,46,19
15,33,34,28,46,16,4,2,29,7,43,30,27,41,45,35,44,22,3,25,23,19,42,14,18
5,12,41,1,33,44,26,32,8,31,14,42,11,45,29,2,46,22,23,24,10,18,38,9,6
5,13,0,9,14,45,49,43,39,29,22,7,46,27,21,3,4,30,1,41,36,25,12,24,19
42,35,21,7,47,3,8,0,14,13,18,26,16,30,5,15,36,33,2,38,37,28,34,31,4
45,15,46,21,25,8,30,27,1,11,7,44,23,48,4,47,37,41,9,2,16,33,18,26,32
3,26,20,11,18,43,49,35,8,2,0,10,32,29,13,41,34,38,39,33,4,14,12,30,45
20,48,33,35,23,40,0,25,46,27,13,38,45,26,16,28,7,21,22,47,49,36,19,15,8
