15,4,23,0,48,29,14,41,37,7,43,16,39,28,11,5,24,26,38,33,20,10,36,3,22
33,47,38,2,28,49,15,35,14,26,48,22,20,24,18,4,43,10,12,21,23,27,11,45,32
34,12,11,19,5,1,36,10,27,6,25,37,21,22,16,28,26,18,41,49,29,47,7,43,40
48,37,17,43,26,22,12,8,14,29,42,1,49,40,7,47,13,3,21,41,45,34,2,38,31
22,47,6,12,17,23,26,43,9,8,44,27,39,19,40,30,34,24,10,36,2,38,25,1,7
45,23,33,13,5,16,4,10,46,15,17,27,1,18,24,14,20,40,38,32,30,36,7,26,11
5,33,43,8,48,27,6,34,19,11,3,15,26,23,28,39,21,7,16,46,37,22,14,24,20
29,44,3,21,9,36,49,16,17,24,10,43,42,37,1,47,7,8,6,33,28,48,31,35,26
31,13,15,37,30,21,41,22,25,43,34,8,12,17,33,49,0,14,2,29,26,3,28,19,35
14,47,38,13,10,45,20,3,22,18,48,46,4,36,7,30,40,5,19,16,29,37,31,32,9
